"filename", "language", "Python", "HTML", "Database", "Markdown", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\admin.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\keras_predict.py", "Python", 56, 0, 0, 0, 0, 0, 15, 15, 86
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\0001_initial.py", "Python", 21, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\0002_post_file.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\0003_post_status.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\0004_post_label.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\0005_report.py", "Python", 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\0006_auto_20220724_1838.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\models.py", "Python", 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\static\blog\main.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 17, 85
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\base.html", "HTML", 0, 66, 0, 0, 0, 0, 5, 12, 83
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\home.html", "HTML", 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\post_confirm_delete.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\post_detail.html", "HTML", 0, 232, 0, 0, 0, 0, 4, 4, 240
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\post_form.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\report_detail.html", "HTML", 0, 139, 0, 0, 0, 0, 3, 3, 145
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\report_list.html", "HTML", 0, 46, 0, 0, 0, 0, 0, 10, 56
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\search.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\templates\blog\user_posts.html", "HTML", 0, 57, 0, 0, 0, 0, 0, 5, 62
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\urls.py", "Python", 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\views.py", "Python", 213, 0, 0, 0, 0, 0, 9, 44, 266
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\db.sqlite3", "Database", 0, 0, 386, 0, 0, 0, 0, 3, 389
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\django_web_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\django_web_app\settings.py", "Python", 75, 0, 0, 0, 0, 0, 25, 34, 134
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\django_web_app\urls.py", "Python", 14, 0, 0, 0, 0, 0, 15, 3, 32
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\django_web_app\wsgi.py", "Python", 6, 0, 0, 0, 0, 0, 8, 6, 20
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\manage.py", "Python", 13, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\Lucky_Goblins_Fuck_Hottest_Elves_-_Gangbang_-_Orgy_Part_-_xHamster.ts", "TypeScript", 0, 0, 0, 0, 0, 1234151, 1142598, 7117, 2383866
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\Lucky_Goblins_Fuck_Hottest_Elves_-_Gangbang_-_Orgy_Part_-_xHamster_MM1vIQA.ts", "TypeScript", 0, 0, 0, 0, 0, 1234151, 1142598, 7117, 2383866
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\Lucky_Goblins_Fuck_Hottest_Elves_-_Gangbang_-_Orgy_Part_-_xHamster_ychX9Gu.ts", "TypeScript", 0, 0, 0, 0, 0, 1234151, 1142598, 7117, 2383866
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\README.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 17, 51
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\README_n6eBkgQ.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 17, 51
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\speech.py", "Python", 10, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\admin.py", "Python", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\forms.py", "Python", 18, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\migrations\0001_initial.py", "Python", 18, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\migrations\0002_profile_is_locked.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\models.py", "Python", 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\signals.py", "Python", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\login.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\logout.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\profile.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\profile_list.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\register.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\register_admin.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\urls.py", "Python", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\views.py", "Python", 90, 0, 0, 0, 0, 0, 0, 16, 106
"Total", "-", 729, 764, 386, 68, 68, 3702453, 3427895, 21680, 7154043